length_km,cable_type,bundle_no,Dm,A,Rb,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,cables,voltage,location
126,Biggest,N/A,N/A,500,N/A,0.053,0.11932,1.70E-09,0.545,1,132,underwater
5.599701026,Condor,2,11.9,155,0.05231,0.537,0.341000376,1.00E-09,0.975,6,220,overhead
15.0251435,Dove,2,11.9,282,0.06075,0.1033,0.331599444,1.00E-09,0.79,3,220,overhead
14.89767194,Dove,2,11.9,282,0.06075,0.1033,0.331599444,1.00E-09,0.79,3,220,overhead
9.417887811,Raven,2,11.9,155,0.05231,0.537,0.341000376,1.00E-09,0.255,3,220,overhead
33.83044957,Raven,2,11.9,155,0.05231,0.537,0.341000376,1.00E-09,0.255,3,220,overhead
4.357733029,Condor,2,11.9,402.3,0.06639,0.07283,0.326018546,1.00E-09,0.975,3,220,overhead
28.90620588,Raven,2,11.9,155,0.05231,0.537,0.341000376,1.00E-09,0.255,3,220,overhead
16.77022419,Dove,2,11.9,282,0.06075,0.1033,0.331599444,1.00E-09,0.79,3,220,overhead
16.06356958,Dove,2,11.9,282,0.06075,0.1033,0.331599444,1.00E-09,0.79,3,220,overhead
15.17717666,Dove,2,11.9,282,0.06075,0.1033,0.331599444,1.00E-09,0.79,3,220,overhead
14.95413245,Dove,2,11.9,282,0.06075,0.1033,0.331599444,1.00E-09,0.79,3,220,overhead
30.27638553,Condor,2,8.6,402.3,0.06639,0.07283,0.305612255,1.00E-09,0.975,3,132,overhead
52.942,Biggest,N/A,N/A,500,N/A,0.053,0.11932,1.70E-09,0.545,1,132,underwater
8.201424711,Dove,2,8.6,282,0.06075,0.1033,0.311193153,1.00E-09,0.79,3,132,overhead
35.54556277,Dove,2,8.6,282,0.06075,0.1033,0.311193153,1.00E-09,0.79,3,132,overhead
21.13216069,Raven,2,8.6,155,0.05231,0.537,0.320594086,1.00E-09,0.255,3,132,overhead
15.43937444,Dove,2,8.6,282,0.06075,0.1033,0.311193153,1.00E-09,0.79,3,132,overhead
4.712656534,Condor,2,8.6,402.3,0.06639,0.07283,0.305612255,1.00E-09,0.975,3,132,overhead
